Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
1211O_13CP_CHCl3,20.1195,228,0.04,0.36884,6.95,365,0.33,-18.79,1.08509
0916O_12CP_CHCl3,19.8635,687,0.11,0.37019,10.64,481,0.44,-25.65,1.07758
0905O_12CP_CHCl3,20.963,603,0.09,0.36773,3.91,957,0.85,-26.1,1.0771
1213O_13CP_CHCl3,19.733,425,0.07,0.37052,11.56,260,0.24,-19.84,1.08395
1205O_13CP_CHCl3,19.3095,329,0.05,0.36814,5.04,563,0.54,-22.81,1.0807
1213O_12CP_CHCl3,19.473,426,0.07,0.37025,10.81,240,0.23,-23.21,1.08025
1211O_12CP_CHCl3,19.346,187,0.03,0.36831,5.49,295,0.28,-24.54,1.0788
0905O_13CP_CHCl3,20.148,439,0.07,0.36751,3.31,770,0.71,-22.62,1.0809
0916O_13CP_CHCl3,20.178,721,0.12,0.37008,10.36,550,0.5,-20.56,1.08315
Blank_01 A,40.534,0,,,,0,,,
Blank_01_+CHCl3 A,38.104,0,,,,0,,,
Curt1A_010_ct,41.279,0,,,,0,,,
Curt1A_010_ct + CHCl3,40.492,150,0.01,0.37182,15.12,388,0.19,-16.53,1.08756
Curt1B_010_ct,41.739,0,,,,211,0.1,-25.05,1.07824
Curt1B_010_ct + CHCl3,39.8615,91,0.01,0.37602,26.62,345,0.17,-16.03,1.0881
Curt1C_010_ct,39.2335,0,,,,57,0.03,-24.21,1.07917
Curt1C_010_ct + CHCl3,40.381,135,0.01,0.37292,18.14,285,0.14,-15.67,1.08851
Curt3A_010_ct,38.68,0,,,,0,,,
Curt3A_010_ct + CHCl3,40.1245,151,0.01,0.37174,14.88,268,0.14,-16.16,1.08797
Curt3B_010_ct,40.7375,0,,,,57,0.03,-21.63,1.08198
Curt3B_010_ct + CHCl3,39.1665,73,0.01,0.37514,24.23,221,0.12,-15.59,1.08859
Curt3C_010_ct,38.897,0,,,,0,,,
Curt3C_010_ct + CHCl3,39.0345,164,0.01,0.37179,15.04,213,0.11,-18.5,1.08541
Curt3D_010_ct + CHCl3,39.718,144,0.01,0.37162,14.56,186,0.1,-19,1.08485
Curt3E_010_ct,41.545,0,,,,0,,,
Curt3E_010_ct + CHCl3,40.768,149,0.01,0.37171,14.82,476,0.24,-19.7,1.08409
Blank_02 B,38.6575,0,,,,0,,,
Blank_02 + CHCl3 B,39.208,0,,,,0,,,
Blank_01_+CHCl3 C,39.249,0,,,,0,,,
Curt1D_010_ct,39.2955,0,,,,0,,,
Curt1E_010_ct,41.758,0,,,,66,0.03,-23.67,1.07975
Curt1E_010_ct + CHCl3,39.431,413,0.04,0.3686,6.3,571,0.3,-17.47,1.08653
Curt2A_010_ct,38.2635,0,,,,61,0.03,-24.91,1.0784
Curt2A_010_ct + CHCl3,39.727,137,0.01,0.37213,15.98,232,0.12,-21.06,1.0826
Curt2B_010_ct,41.6725,0,,,,71,0.04,-20.12,1.08364
Curt2B_010_ct + CHCl3,39.2345,121,0.01,0.37331,19.2,316,0.17,-15.16,1.08906
Curt2C_010_ct,40.3325,0,,,,77,0.04,-23.89,1.07951
Curt2C_010_ct + CHCl3,41.5165,321,0.03,0.37282,17.85,413,0.2,-17.37,1.08664
Curt2D_010_ct,38.3035,0,,,,58,0.03,-20.58,1.08313
Curt2D_010_ct + CHCl3,40.989,203,0.02,0.37405,21.22,276,0.14,-19.64,1.08416
Curt2E_010_ct,38.403,0,,,,66,0.03,-23.24,1.08022
Curt2E_010_ct + CHCl3,40.311,514,0.04,0.3697,9.31,569,0.29,-19.48,1.08433
Blank_02 D,38.8095,0,,,,0,,,
Blank_02 + CHCl3 D,40.5505,0,,,,0,,,
Curt1A_010,40.304,0,,,,0,,,
Curt1A_010 + CHCl3,41.165,142,0.01,0.37705,29.45,190,0.09,13.56,1.12046
Curt1B_010,39.124,0,,,,0,,,
Curt1B_010 + CHCl3,41.3745,81,0.01,0.38341,46.88,306,0.15,36.43,1.14546
Curt1C_010,40.144,0,,,,0,,,
Curt1C_010 + CHCl3,39.029,93,0.01,0.38064,39.28,117,0.06,5.16,1.11128
Curt3A_010,40.506,0,,,,53,0.03,-21.94,1.08165
Curt3A_010 + CHCl3,41.8195,201,0.02,0.37348,19.65,374,0.19,12.42,1.11921
Curt3B_010,39.6285,0,,,,0,,,
Curt3B_010 + CHCl3,39.1315,65,0.01,0.38505,51.38,207,0.11,47.89,1.15798
Curt3C_010,40.0595,0,,,,53,0.03,-24,1.07939
Curt3C_010 + CHCl3,40.5,342,0.03,0.37205,15.75,626,0.32,20.01,1.12752
Curt3D_010,38.9585,0,,,,0,,,
Curt3D_010 + CHCl3,40.1365,123,0.01,0.38259,44.64,167,0.09,3.5,1.10947
Curt3E_010,40.3985,0,,,,51,0.03,-25.42,1.07784
Curt3E_010 + CHCl3,40.81,56,0,0.39654,82.87,142,0.07,-9.29,1.09548
Curt1D_010,38.3015,0,,,,0,,,
Curt1D_010 + CHCl3,41.059,310,0.03,0.37295,18.22,358,0.18,7.81,1.11418
