Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
0808M_12CP_nofum,40.895,75,0.01,0.37223,16.24,66,0.03,-26.43,1.07673
0916M_13CP_CHCl,39.2775,177,0.02,0.36870,6.57,252,0.11,35.21,1.14412
0316M_12CP_nofum,39.667,96,0.01,0.36584,-1.28,63,0.03,-26.84,1.07628
Blank_CHCl,40.3905,0,,,,0,,,
0202M_13CP_CHCl,40.177,63,0.01,0.36814,5.02,223,0.09,12.18,1.11896
0811M_13CP_CHCl,40.4855,118,0.01,0.36827,5.39,389,0.17,2.05,1.10788
0211M_13CP_nofum,39.92,0,,,,118,0.05,10.93,1.11759
0304M_12CP_nofum,39.8405,94,0.01,0.36673,1.18,142,0.06,-21.18,1.08247
0202M_12CP_CHCl,40.5235,85,0.01,0.36782,4.16,264,0.11,-26.38,1.07679
0218M_13CP_nofum,39.542,64,0.01,0.36878,6.79,123,0.05,-3.54,1.10177
0103M_12CP_CHCl,39.3,374,0.03,0.37200,15.60,237,0.10,-26.24,1.07694
0508M_12CP_nofum,39.533,401,0.03,0.37004,10.24,218,0.09,-26.31,1.07686
0112M_12CP_CHCl,39.64,147,0.01,0.36694,1.75,550,0.24,-25.44,1.07782
0308M_13CP_CHCl,40.283,166,0.01,0.36767,3.75,169,0.07,16.45,1.12362
0811M_13CP_nofum,39.5625,0,,,,170,0.07,0.99,1.10672
0304M_13CP_nofum,39.4675,93,0.01,0.36596,-0.94,78,0.03,-3.00,1.10236
0115M_12CP_CHCl,40.4875,192,0.02,0.36790,4.39,312,0.13,-25.83,1.07738
0308M_13CP_nofum,40.3915,92,0.01,0.36619,-0.32,86,0.04,14.60,1.12160
Blank_nofum,40.336,0,,,,0,,,
0202M_12CP_nofum,40.4785,52,0.01,0.36591,-1.09,159,0.07,-25.79,1.07743
0211M_12CP_nofum,30.916,54,0.01,0.36989,9.83,88,0.05,-26.70,1.07643
0211M_12CP_CHCl,39.299,167,0.01,0.37052,11.55,217,0.10,-26.03,1.07717
0515M_13CP_CHCl,40.0885,213,0.02,0.36585,-1.23,206,0.09,11.06,1.11773
0912M_13CP_CHCl,40.209,703,0.05,0.37146,14.13,362,0.16,10.18,1.11677
0807M_13CP_nofum,39.7505,0,,,,92,0.04,12.57,1.11938
0807M_13CP_CHCl,39.9775,103,0.01,0.36753,3.37,212,0.09,28.72,1.13704
0807M_12CP_CHCl,40.5885,145,0.01,0.36979,9.57,208,0.09,-24.62,1.07871
0912M_12CP_nofum,39.799,"1,059",0.08,0.37185,15.20,159,0.07,-24.70,1.07863
0512M_12CP_CHCl,40.141,261,0.02,0.36590,-1.11,310,0.14,-26.14,1.07705
0103M_12CP_nofum,40.76,540,0.04,0.37198,15.55,292,0.12,-26.85,1.07627
0508M_13CP_CHCl,39.513,264,0.02,0.36681,1.39,320,0.14,12.85,1.11969
0515M_12CP_CHCl,40.3995,212,0.02,0.36744,3.11,196,0.08,-26.37,1.07679
0304M_13CP_CHCl,40.9115,208,0.02,0.36720,2.45,285,0.12,13.74,1.12067
0115M_12CP_nofum,39.796,80,0.01,0.36657,0.73,108,0.05,-27.40,1.07567
0316M_13CP_CHCl,39.1595,195,0.02,0.36691,1.67,202,0.09,22.31,1.13003
0905M_13CP_CHCl,40.8465,291,0.02,0.36854,6.14,353,0.15,14.89,1.12192
0218M_12CP_CHCl,39.5865,287,0.02,0.37153,14.34,264,0.11,-25.35,1.07791
0512M_12CP_nofum,39.44,158,0.01,0.36460,-4.66,178,0.08,-27.84,1.07519
0304M_12CP_CHCl,39.665,347,0.03,0.36843,5.83,791,0.35,-17.17,1.08686
0115M_13CP_nofum,40.025,90,0.01,0.36503,-3.49,187,0.08,-10.33,1.09434
0316M_12CP_CHCl,40.366,157,0.01,0.36624,-0.16,94,0.04,-25.08,1.07821
0115M_13CP_CHCl,39.8795,211,0.02,0.36791,4.40,300,0.13,6.90,1.11319
Blank_nofum,40.336,0,,,,0,,,
blank_tin,0,0,,,,0,,,
blank_tin,0,0,,,,0,,,
blank_tin,0,0,,,,0,,,
blank_tin,0,0,,,,0,,,
0202O_12CG_CHCl,40.348,0,,,,83,0.04,-17.34,1.08668
0202O_12CG_nofum,40.0905,0,,,,0,,,
0202O_13CG_nofum,39.634,0,,,,0,,,
0202O_13CG_CHCl,40.0855,0,,,,101,0.04,77.53,1.19034
